Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,200,0,0,6,0.66,0.000%,20.11465,5.70,2.49,290.0
POST,200,39,37,59,2.62,0.000%,20.05214,7.45,7.73,380.4
GET ID,200,0,0,2,0.51,0.000%,20.16739,10.45,2.45,530.4
PUT,200,1,0,3,0.49,0.000%,20.16942,10.15,6.63,515.4
GET,200,0,0,2,0.51,0.000%,20.17553,58.48,2.38,2968.4
DELETE,200,0,0,2,0.46,0.000%,20.17756,5.46,4.15,277.0
TOTAL,1200,7,0,59,14.40,0.000%,120.19231,97.06,25.71,826.9
