Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,2500,0,0,1,1,1,0,18,0.000%,116.45239,32.98,14.44
POST,2500,2192,2392,3352,3447,3518,38,3545,0.000%,110.36553,41.10,42.54
GET ID,2500,0,0,1,1,1,0,2,0.000%,110.60968,57.39,13.56
PUT,2500,0,1,1,1,2,0,3,0.000%,110.61947,55.78,36.44
GET,2500,0,0,1,1,1,0,2,0.000%,110.61947,331.37,13.07
DELETE,2500,0,1,1,1,1,0,182,0.000%,110.62926,29.93,22.86
TOTAL,15000,365,1,2066,2953,3424,0,3545,0.000%,661.95940,545.54,141.91
