timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763947076235,9,Healthcheck,200,OK,TESTES 1-1,text,true,,290,127,1,1,http://localhost:8085/healthcheck,9,0,1
1763947076244,51,POST,201,Created,TESTES 1-1,text,true,,380,395,1,1,http://localhost:8085/users,51,0,0
1763947076296,1,GET ID,200,OK,TESTES 1-1,text,true,,530,124,1,1,http://localhost:8085/users/11,1,0,0
1763947076297,2,PUT,200,OK,TESTES 1-1,text,true,,515,336,1,1,http://localhost:8085/users/11,2,0,0
1763947076299,1,GET,200,OK,TESTES 1-1,text,true,,2968,121,1,1,http://localhost:8085/users,1,0,0
1763947076300,1,DELETE,200,OK,TESTES 1-1,text,true,,277,210,1,1,http://localhost:8085/users/11,1,0,0
1763947076301,1,Healthcheck,200,OK,TESTES 1-1,text,true,,290,127,1,1,http://localhost:8085/healthcheck,1,0,0
1763947076335,1,Healthcheck,200,OK,TESTES 1-2,text,true,,290,127,2,2,http://localhost:8085/healthcheck,1,0,0
1763947076302,38,POST,201,Created,TESTES 1-1,text,true,,380,395,2,2,http://localhost:8085/users,38,0,0
1763947076341,1,GET ID,200,OK,TESTES 1-1,text,true,,530,124,2,2,http://localhost:8085/users/12,1,0,0
1763947076342,1,PUT,200,OK,TESTES 1-1,text,true,,515,336,2,2,http://localhost:8085/users/12,1,0,0
1763947076343,1,GET,200,OK,TESTES 1-1,text,true,,2968,121,2,2,http://localhost:8085/users,1,0,0
1763947076344,1,DELETE,200,OK,TESTES 1-1,text,true,,277,210,2,2,http://localhost:8085/users/12,1,0,0
1763947076336,39,POST,201,Created,TESTES 1-2,text,true,,380,395,1,1,http://localhost:8085/users,39,0,0
1763947076375,1,GET ID,200,OK,TESTES 1-2,text,true,,530,124,1,1,http://localhost:8085/users/13,1,0,0
1763947076376,1,PUT,200,OK,TESTES 1-2,text,true,,514,335,1,1,http://localhost:8085/users/13,1,0,0
