Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,2500,0,0,18,0.80,0.000%,116.45239,32.98,14.44,290.0
POST,2500,2192,38,3545,998.37,0.000%,110.36553,41.10,42.54,381.3
GET ID,2500,0,0,2,0.48,0.000%,110.60968,57.39,13.56,531.3
PUT,2500,0,0,3,0.43,0.000%,110.61947,55.78,36.44,516.3
GET,2500,0,0,2,0.49,0.000%,110.61947,331.37,13.07,3067.5
DELETE,2500,0,0,182,3.66,0.000%,110.62926,29.93,22.86,277.0
TOTAL,15000,365,0,3545,912.82,0.000%,661.95940,545.54,141.91,843.9
