Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,200,0,0,1,1,2,0,6,0.000%,20.11465,5.70,2.49
POST,200,39,38,42,44,47,37,59,0.000%,20.05214,7.45,7.73
GET ID,200,0,1,1,1,2,0,2,0.000%,20.16739,10.45,2.45
PUT,200,1,1,2,2,2,0,3,0.000%,20.16942,10.15,6.63
GET,200,0,0,1,1,1,0,2,0.000%,20.17553,58.48,2.38
DELETE,200,0,1,1,1,1,0,2,0.000%,20.17756,5.46,4.15
TOTAL,1200,7,1,38,39,44,0,59,0.000%,120.19231,97.06,25.71
