Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,10000,0,0,1,1,1,0,24,0.000%,116.15886,32.90,14.41
POST,10000,7587,8672,9022,9037,9050,40,17882,0.000%,110.69661,41.26,42.67
GET ID,10000,4,0,1,1,1,0,5380,0.000%,110.76037,57.51,13.62
PUT,10000,1,1,1,1,2,0,5201,0.000%,110.76037,55.89,36.52
GET,10000,0,0,1,1,1,0,5345,0.000%,110.76282,350.75,13.09
DELETE,10000,1,1,1,1,1,0,4593,0.000%,110.76405,29.96,22.92
TOTAL,60000,1265,1,8299,8926,9031,0,17882,0.000%,664.12087,566.37,142.48
