Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,2500,0,0,17,0.78,0.000%,246.20839,42.32,30.54,176.0
POST,2500,43,39,58,2.12,0.000%,245.29042,81.77,90.00,341.4
GET ID,2500,0,0,11,0.90,0.000%,246.49970,102.10,30.23,424.2
PUT,2500,1,0,10,1.13,0.000%,246.49970,98.49,77.12,409.2
GET,2500,0,0,8,0.68,0.000%,246.54832,741.27,29.13,3078.7
DELETE,2500,0,0,10,1.03,0.000%,246.52401,39.72,50.93,165.0
TOTAL,15000,7,0,58,15.92,0.000%,1471.30947,1100.23,306.81,765.7
