Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,200,0,0,1,1,1,0,1,0.000%,20.11061,3.46,2.49
POST,200,42,41,47,49,52,39,59,0.000%,20.02804,6.66,7.35
GET ID,200,0,0,1,1,1,0,1,0.000%,20.13085,8.32,2.45
PUT,200,0,1,1,1,1,0,2,0.000%,20.13085,8.02,6.28
GET,200,0,0,1,1,1,0,1,0.000%,20.13490,57.79,2.38
DELETE,200,0,1,1,1,1,0,1,0.000%,20.13490,3.24,4.14
TOTAL,1200,7,1,40,43,48,0,59,0.000%,120.12012,87.04,24.99
