timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763945189420,2,GET,200,OK,TESTES 1-275,text,true,,2654,121,2,2,http://localhost:8081/users,2,0,0
1763945189422,0,Healthcheck,200,OK,TESTES 1-275,text,true,,176,127,3,3,http://localhost:8081/healthcheck,0,0,0
1763945189422,1,Healthcheck,200,OK,TESTES 1-276,text,true,,176,127,3,3,http://localhost:8081/healthcheck,1,0,0
1763945189432,6,Healthcheck,200,OK,TESTES 1-277,text,true,,176,127,4,4,http://localhost:8081/healthcheck,6,0,1
1763945189441,7,Healthcheck,200,OK,TESTES 1-278,text,true,,176,127,5,5,http://localhost:8081/healthcheck,7,0,1
1763945189451,1,Healthcheck,200,OK,TESTES 1-279,text,true,,176,127,6,6,http://localhost:8081/healthcheck,1,0,1
1763945189463,0,Healthcheck,200,OK,TESTES 1-280,text,true,,176,127,7,7,http://localhost:8081/healthcheck,0,0,0
1763945189422,46,POST,201,Created,TESTES 1-275,text,true,,339,375,7,7,http://localhost:8081/users,46,0,0
1763945189468,0,GET ID,200,OK,TESTES 1-275,text,true,,422,124,7,7,http://localhost:8081/users/11,0,0,0
1763945189468,1,PUT,200,OK,TESTES 1-275,text,true,,408,319,7,7,http://localhost:8081/users/11,1,0,0
1763945189469,0,GET,200,OK,TESTES 1-275,text,true,,2939,121,7,7,http://localhost:8081/users,0,0,0
1763945189469,1,DELETE,200,OK,TESTES 1-275,text,true,,165,210,7,7,http://localhost:8081/users/11,1,0,0
1763945189470,0,Healthcheck,200,OK,TESTES 1-275,text,true,,176,127,7,7,http://localhost:8081/healthcheck,0,0,0
1763945189473,4,Healthcheck,200,OK,TESTES 1-281,text,true,,176,127,8,8,http://localhost:8081/healthcheck,4,0,0
1763945189438,41,POST,201,Created,TESTES 1-277,text,true,,340,376,8,8,http://localhost:8081/users,41,0,0
1763945189479,0,GET ID,200,OK,TESTES 1-277,text,true,,423,124,8,8,http://localhost:8081/users/12,0,0,0
1763945189479,1,PUT,200,OK,TESTES 1-277,text,true,,408,319,8,8,http://localhost:8081/users/12,1,0,0
1763945189480,0,GET,200,OK,TESTES 1-277,text,true,,2939,121,8,8,http://localhost:8081/users,0,0,0
1763945189480,0,DELETE,200,OK,TESTES 1-277,text,true,,165,210,8,8,http://localhost:8081/users/12,0,0,0
1763945189480,1,Healthcheck,200,OK,TESTES 1-277,text,true,,176,127,8,8,http://localhost:8081/healthcheck,1,0,0
1763945189482,6,Healthcheck,200,OK,TESTES 1-282,text,true,,176,127,9,9,http://localhost:8081/healthcheck,6,0,0
1763945189423,65,POST,201,Created,TESTES 1-276,text,true,,340,376,9,9,http://localhost:8081/users,65,0,0
1763945189489,0,GET ID,200,OK,TESTES 1-276,text,true,,421,124,9,9,http://localhost:8081/users/13,0,0,0
1763945189489,1,PUT,200,OK,TESTES 1-276,text,true,,407,319,9,9,http://localhost:8081/users/13,1,0,0
1763945189490,0,GET,200,OK,TESTES 1-276,text,true,,2938,121,9,9,http://localhost:8081/users,0,0,0
1763945189490,1,DELETE,200,OK,TESTES 1-276,text,true,,165,210,9,9,http://localhost:8081/users/13,1,0,0
1763945189491,0,Healthcheck,200,OK,TESTES 1-276,text,true,,176,127,9,9,http://localhost:8081/healthcheck,0,0,0
1763945189448,43,POST,201,Created,TESTES 1-278,text,true,,339,375,9,9,http://localhost:8081/users,43,0,0
1763945189492,6,Healthcheck,200,OK,TESTES 1-283,text,true,,176,127,10,10,http://localhost:8081/healthcheck,6,0,0
1763945189452,46,POST,201,Created,TESTES 1-279,text,true,,340,376,10,10,http://localhost:8081/users,46,0,0
1763945189498,0,GET ID,200,OK,TESTES 1-279,text,true,,423,124,10,10,http://localhost:8081/users/15,0,0,0
1763945189491,8,GET ID,200,OK,TESTES 1-278,text,true,,422,124,10,10,http://localhost:8081/users/14,8,0,0
1763945189498,1,PUT,200,OK,TESTES 1-279,text,true,,408,319,10,10,http://localhost:8081/users/15,1,0,0
1763945189499,1,GET,200,OK,TESTES 1-279,text,true,,3238,121,10,10,http://localhost:8081/users,1,0,0
1763945189499,1,PUT,200,OK,TESTES 1-278,text,true,,407,318,10,10,http://localhost:8081/users/14,1,0,0
1763945189500,0,DELETE,200,OK,TESTES 1-279,text,true,,165,210,10,10,http://localhost:8081/users/15,0,0,0
1763945189500,0,Healthcheck,200,OK,TESTES 1-279,text,true,,176,127,10,10,http://localhost:8081/healthcheck,0,0,0
1763945189500,1,GET,200,OK,TESTES 1-278,text,true,,3223,121,10,10,http://localhost:8081/users,1,0,0
1763945189501,0,DELETE,200,OK,TESTES 1-278,text,true,,165,210,10,10,http://localhost:8081/users/14,0,0,0
1763945189501,0,Healthcheck,200,OK,TESTES 1-278,text,true,,176,127,10,10,http://localhost:8081/healthcheck,0,0,0
1763945189463,43,POST,201,Created,TESTES 1-280,text,true,,338,374,11,11,http://localhost:8081/users,43,0,0
1763945189506,0,GET ID,200,OK,TESTES 1-280,text,true,,421,124,11,11,http://localhost:8081/users/16,0,0,0
1763945189506,1,PUT,200,OK,TESTES 1-280,text,true,,408,319,11,11,http://localhost:8081/users/16,1,0,0
1763945189507,0,GET,200,OK,TESTES 1-280,text,true,,2939,121,11,11,http://localhost:8081/users,0,0,0
1763945189507,1,DELETE,200,OK,TESTES 1-280,text,true,,165,210,11,11,http://localhost:8081/users/16,1,0,0
