timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763944649189,1,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,1,1,http://localhost:8081/healthcheck,1,0,0
1763944649190,51,POST,201,Created,TESTES 1-1,text,true,,340,375,1,1,http://localhost:8081/users,51,0,0
1763944649241,1,GET ID,200,OK,TESTES 1-1,text,true,,423,124,1,1,http://localhost:8081/users/11,1,0,0
1763944649242,1,PUT,200,OK,TESTES 1-1,text,true,,408,319,1,1,http://localhost:8081/users/11,1,0,0
1763944649243,0,GET,200,OK,TESTES 1-1,text,true,,2939,121,1,1,http://localhost:8081/users,0,0,0
1763944649243,1,DELETE,200,OK,TESTES 1-1,text,true,,165,210,1,1,http://localhost:8081/users/11,1,0,0
1763944649244,0,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,1,1,http://localhost:8081/healthcheck,0,0,0
1763944649244,40,POST,201,Created,TESTES 1-1,text,true,,340,376,1,1,http://localhost:8081/users,40,0,0
1763944649284,0,GET ID,200,OK,TESTES 1-1,text,true,,423,124,1,1,http://localhost:8081/users/12,0,0,0
1763944649284,1,PUT,200,OK,TESTES 1-1,text,true,,408,319,1,1,http://localhost:8081/users/12,1,0,0
1763944649285,0,GET,200,OK,TESTES 1-1,text,true,,2939,121,1,1,http://localhost:8081/users,0,0,0
1763944649285,1,DELETE,200,OK,TESTES 1-1,text,true,,165,210,1,1,http://localhost:8081/users/12,1,0,0
1763944649286,0,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,1,1,http://localhost:8081/healthcheck,0,0,0
1763944649289,0,Healthcheck,200,OK,TESTES 1-2,text,true,,176,127,2,2,http://localhost:8081/healthcheck,0,0,0
1763944649286,41,POST,201,Created,TESTES 1-1,text,true,,340,376,2,2,http://localhost:8081/users,41,0,0
1763944649327,0,GET ID,200,OK,TESTES 1-1,text,true,,423,124,2,2,http://localhost:8081/users/13,0,0,0
1763944649327,1,PUT,200,OK,TESTES 1-1,text,true,,406,318,2,2,http://localhost:8081/users/13,1,0,0
1763944649328,1,GET,200,OK,TESTES 1-1,text,true,,2937,121,2,2,http://localhost:8081/users,1,0,0
1763944649329,0,DELETE,200,OK,TESTES 1-1,text,true,,165,210,2,2,http://localhost:8081/users/13,0,0,0
1763944649329,0,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,2,2,http://localhost:8081/healthcheck,0,0,0
1763944649290,40,POST,201,Created,TESTES 1-2,text,true,,340,376,2,2,http://localhost:8081/users,40,0,0
1763944649330,0,GET ID,200,OK,TESTES 1-2,text,true,,423,124,2,2,http://localhost:8081/users/14,0,0,0
1763944649330,1,PUT,200,OK,TESTES 1-2,text,true,,407,319,2,2,http://localhost:8081/users/14,1,0,0
1763944649331,1,GET,200,OK,TESTES 1-2,text,true,,2938,121,2,2,http://localhost:8081/users,1,0,0
1763944649332,17,DELETE,200,OK,TESTES 1-2,text,true,,165,210,2,2,http://localhost:8081/users/14,17,0,0
1763944649349,0,Healthcheck,200,OK,TESTES 1-2,text,true,,176,127,2,2,http://localhost:8081/healthcheck,0,0,0
1763944649329,43,POST,201,Created,TESTES 1-1,text,true,,340,376,2,2,http://localhost:8081/users,43,0,0
1763944649372,0,GET ID,200,OK,TESTES 1-1,text,true,,423,124,2,2,http://localhost:8081/users/15,0,0,0
1763944649372,1,PUT,200,OK,TESTES 1-1,text,true,,407,318,2,2,http://localhost:8081/users/15,1,0,0
1763944649373,1,GET,200,OK,TESTES 1-1,text,true,,2938,121,2,2,http://localhost:8081/users,1,0,0
1763944649374,0,DELETE,200,OK,TESTES 1-1,text,true,,165,210,2,2,http://localhost:8081/users/15,0,0,0
1763944649374,0,Healthcheck,200,OK,TESTES 1-1,text,true,,176,127,2,2,http://localhost:8081/healthcheck,0,0,0
1763944649350,40,POST,201,Created,TESTES 1-2,text,true,,340,376,3,3,http://localhost:8081/users,40,0,0
1763944649390,0,GET ID,200,OK,TESTES 1-2,text,true,,423,124,3,3,http://localhost:8081/users/16,0,0,0
1763944649390,0,Healthcheck,200,OK,TESTES 1-3,text,true,,176,127,3,3,http://localhost:8081/healthcheck,0,0,0
1763944649390,20,PUT,200,OK,TESTES 1-2,text,true,,408,319,3,3,http://localhost:8081/users/16,20,0,0
1763944649410,0,GET,200,OK,TESTES 1-2,text,true,,2939,121,3,3,http://localhost:8081/users,0,0,0
1763944649410,1,DELETE,200,OK,TESTES 1-2,text,true,,165,210,3,3,http://localhost:8081/users/16,1,0,0
1763944649411,0,Healthcheck,200,OK,TESTES 1-2,text,true,,176,127,3,3,http://localhost:8081/healthcheck,0,0,0
1763944649374,40,POST,201,Created,TESTES 1-1,text,true,,340,376,3,3,http://localhost:8081/users,40,0,0
1763944649414,0,GET ID,200,OK,TESTES 1-1,text,true,,423,124,3,3,http://localhost:8081/users/17,0,0,0
1763944649414,1,PUT,200,OK,TESTES 1-1,text,true,,408,319,3,3,http://localhost:8081/users/17,1,0,0
1763944649415,0,GET,200,OK,TESTES 1-1,text,true,,2939,121,3,3,http://localhost:8081/users,0,0,0
1763944649415,1,DELETE,200,OK,TESTES 1-1,text,true,,165,210,3,3,http://localhost:8081/users/17,1,0,0
1763944649390,41,POST,201,Created,TESTES 1-3,text,true,,339,375,2,2,http://localhost:8081/users,41,0,0
1763944649431,0,GET ID,200,OK,TESTES 1-3,text,true,,422,124,2,2,http://localhost:8081/users/18,0,0,0
1763944649431,1,PUT,200,OK,TESTES 1-3,text,true,,408,319,2,2,http://localhost:8081/users/18,1,0,0
1763944649432,0,GET,200,OK,TESTES 1-3,text,true,,2939,121,2,2,http://localhost:8081/users,0,0,0
1763944649432,0,DELETE,200,OK,TESTES 1-3,text,true,,165,210,2,2,http://localhost:8081/users/18,0,0,0
1763944649432,0,Healthcheck,200,OK,TESTES 1-3,text,true,,176,127,2,2,http://localhost:8081/healthcheck,0,0,0
1763944649411,40,POST,201,Created,TESTES 1-2,text,true,,340,376,2,2,http://localhost:8081/users,40,0,0
1763944649451,0,GET ID,200,OK,TESTES 1-2,text,true,,423,124,2,2,http://localhost:8081/users/19,0,0,0
1763944649451,1,PUT,200,OK,TESTES 1-2,text,true,,407,318,2,2,http://localhost:8081/users/19,1,0,0
