Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,200,1,1,3,3,3,0,3,0.000%,20.17553,3.59,2.50
POST,200,3,3,6,7,8,1,8,0.000%,20.17349,6.98,7.78
GET ID,200,1,1,3,3,4,0,4,0.000%,20.18775,6.89,2.46
PUT,200,3,3,6,6,7,1,8,0.000%,20.18367,6.59,6.63
GET,200,1,1,3,3,3,0,4,0.000%,20.18775,41.15,2.39
DELETE,200,2,2,3,4,4,0,5,0.000%,20.18367,3.23,4.15
TOTAL,1200,2,2,5,6,7,0,8,0.000%,120.91898,68.32,25.86
