Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,200,1,0,3,0.88,0.000%,20.16942,3.58,2.50,182.0
POST,200,3,1,13,1.76,0.000%,20.16942,6.98,7.77,354.4
GET ID,200,1,0,4,0.81,0.000%,20.19386,6.89,2.46,349.4
PUT,200,3,1,9,1.55,0.000%,20.19386,6.59,6.63,334.3
GET,200,1,0,4,0.77,0.000%,20.19794,41.17,2.39,2087.3
DELETE,200,2,1,6,0.95,0.000%,20.19590,3.23,4.15,164.0
TOTAL,1200,2,0,13,1.50,0.000%,120.90680,68.31,25.86,578.6
