Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,2500,0,0,3,0.45,0.000%,249.90004,44.42,30.99,182.0
POST,2500,1,1,8,0.60,0.000%,249.90004,86.72,96.32,355.3
GET ID,2500,0,0,15,0.59,0.000%,250.10004,85.57,30.67,350.3
PUT,2500,1,1,17,0.87,0.000%,250.10004,81.91,82.39,335.4
GET,2500,0,0,8,0.51,0.000%,250.30036,541.81,29.58,2216.6
DELETE,2500,1,0,9,0.60,0.000%,250.37556,40.10,51.73,164.0
TOTAL,15000,1,0,17,0.85,0.000%,1498.80096,879.09,321.32,600.6
