Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,2500,0,0,1,1,1,0,3,0.000%,249.90004,44.42,30.99
POST,2500,1,2,2,3,3,1,8,0.000%,249.90004,86.72,96.32
GET ID,2500,0,1,1,1,2,0,15,0.000%,250.10004,85.57,30.67
PUT,2500,1,2,3,3,4,1,17,0.000%,250.10004,81.91,82.39
GET,2500,0,1,1,1,2,0,8,0.000%,250.30036,541.81,29.58
DELETE,2500,1,1,2,2,3,0,9,0.000%,250.37556,40.10,51.73
TOTAL,15000,1,1,2,2,3,0,17,0.000%,1498.80096,879.09,321.32
