Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,2500,0,0,1,2,3,0,17,0.000%,246.20839,42.32,30.54
POST,2500,43,43,46,47,51,39,58,0.000%,245.29042,81.77,90.00
GET ID,2500,0,0,1,1,5,0,11,0.000%,246.49970,102.10,30.23
PUT,2500,1,1,2,3,6,0,10,0.000%,246.49970,98.49,77.12
GET,2500,0,0,1,1,3,0,8,0.000%,246.54832,741.27,29.13
DELETE,2500,0,1,1,2,6,0,10,0.000%,246.52401,39.72,50.93
TOTAL,15000,7,1,42,44,46,0,58,0.000%,1471.30947,1100.23,306.81
