Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Healthcheck,10000,42,8,52,145,872,0,4586,0.000%,434.31053,74.65,53.86
POST,10000,507,270,1364,1857,2955,41,5358,36.850%,433.55734,113.34,159.06
GET ID,10000,204,64,593,1135,1961,0,4898,42.730%,434.61254,28826.01,71.73
PUT,10000,142,37,290,776,1770,0,6407,67.230%,434.61254,100.12,135.47
GET,10000,229,68,707,1285,2031,0,5708,43.210%,434.61254,86657.40,51.36
DELETE,10000,105,30,197,494,1501,0,4171,60.500%,434.59365,65.49,89.30
TOTAL,60000,205,54,549,1110,2034,0,6407,41.753%,2600.44208,115516.02,559.66
