Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,200,0,0,1,0.42,0.000%,20.11061,3.46,2.49,176.0
POST,200,42,39,59,3.24,0.000%,20.02804,6.66,7.35,340.3
GET ID,200,0,0,1,0.48,0.000%,20.13085,8.32,2.45,423.1
PUT,200,0,0,2,0.41,0.000%,20.13085,8.02,6.28,408.2
GET,200,0,0,1,0.41,0.000%,20.13490,57.79,2.38,2939.2
DELETE,200,0,0,1,0.46,0.000%,20.13490,3.24,4.14,165.0
TOTAL,1200,7,0,59,15.59,0.000%,120.12012,87.04,24.99,742.0
