Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,10000,42,0,4586,171.30,0.000%,434.31053,74.65,53.86,176.0
POST,10000,507,41,5358,607.45,36.850%,433.55734,113.34,159.06,267.7
GET ID,10000,204,0,4898,419.17,42.730%,434.61254,28826.01,71.73,67917.6
PUT,10000,142,0,6407,345.58,67.230%,434.61254,100.12,135.47,235.9
GET,10000,229,0,5708,451.16,43.210%,434.61254,86657.40,51.36,204175.4
DELETE,10000,105,0,4171,266.69,60.500%,434.59365,65.49,89.30,154.3
TOTAL,60000,205,0,6407,428.26,41.753%,2600.44208,115516.02,559.66,45487.8
