Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Healthcheck,10000,2,0,114,6.99,0.000%,192.70422,34.25,23.90,182.0
POST,10000,1324,2,9422,1086.52,0.000%,192.67451,66.92,74.26,355.7
GET ID,10000,537,1,6020,725.71,0.000%,192.69679,65.99,23.69,350.7
PUT,10000,1245,3,10706,1085.40,0.030%,192.68937,63.16,63.54,335.6
GET,10000,470,0,7666,711.27,0.030%,192.70050,3959.79,22.76,21042.1
DELETE,10000,400,1,6781,665.96,0.000%,192.70050,30.86,39.87,164.0
TOTAL,60000,663,0,10706,928.12,0.010%,1155.86892,4219.77,247.98,3738.4
